"name","city","state","zoo_richness","zoo_diversity","city_richness","city_diversity","perc_richness","perc_diversity"
"Reid Park Zoo","Tucson","AZ",13,1.94199806179537,90,3.42121032283105,0.144444444444444,0.567634807142862
"Phoenix Zoo","Phoenix","AZ",10,2.07015707548824,65,2.96070840498975,0.153846153846154,0.699210051215904
"San Diego Zoo","San Diego","CA",20,2.15252826861435,139,3.84090973978484,0.143884892086331,0.560421466382841
"Albuquerque Biological Park","Albuquerque","NM",NA,NA,NA,NA,NA,NA
"Los Angeles Zoo","Los Angeles","CA",16,2.266476529848,90,3.16738540987856,0.177777777777778,0.715567017130037
"San Antonio Zoo","San Antonio","TX",58,3.26175134283661,136,3.86924856023451,0.426470588235294,0.842993488802623
